position_id,as_of_date,desk,instrument,notional,market_value,customer_id
MP000001,2023-11-30,Fixed Income,ASX Equity,47752372.0,47802914.02,CUST00001
MP000002,2023-11-30,Equities,AUD Bond,41963168.0,41529225.95,CUST00002
MP000003,2023-11-30,Fixed Income,AUD Bond,35005877.0,38045604.8,CUST00003
MP000004,2023-11-30,Derivatives,AUD Bond,39158329.0,42328494.96,CUST00004
MP000005,2023-11-30,FX,ASX Equity,18145541.0,17118850.82,CUST00005
MP000006,2023-11-30,Equities,AUD Bond,27404874.0,27947726.95,CUST00006
MP000007,2023-11-30,Fixed Income,AUD Bond,30829612.0,30267122.02,CUST00007
MP000008,2023-11-30,FX,FX Pair,21948620.0,20417198.26,CUST00008
MP000009,2023-11-30,Commodities,ASX Equity,42153049.0,38604021.79,CUST00009
MP000010,2023-11-30,FX,ASX Equity,38897313.0,40625843.4,CUST00010
MP000011,2023-11-30,Equities,Derivative,31765040.0,30078299.63,CUST00011
MP000012,2023-11-30,Commodities,ASX Equity,33470446.0,31504857.57,CUST00012
MP000013,2023-11-30,FX,Commodity,14433736.0,14734084.26,CUST00013
MP000014,2023-11-30,Commodities,Commodity,40085229.0,43597387.61,CUST00014
MP000015,2023-11-30,FX,ASX Equity,17235412.0,17648179.69,CUST00015
